Car Name,Make,Model,Year,Fuel Type,Transmission,Kilometers Driven,Ownership,Price INR,Color,Registration City,Insurance Valid Till,RC Status,Service History,Accidental,Tyre Condition,Battery Condition,Features,Description,Image URL 1,Image URL 2,Image URL 3
Hyundai i20 Sportz,Hyundai,i20,2019,Petrol,Manual,48500,1st Owner,685000,White,Mumbai,2027-02-28,Clean,Authorized Service Center,No,70%,Good,"Touchscreen, Reverse Camera, Alloy Wheels, Steering Controls","Well-maintained hatchback, single owner, city driven, clean interiors.",https://images.example.com/cars/i20-front.jpg,https://images.example.com/cars/i20-interior.jpg,https://images.example.com/cars/i20-rear.jpg
Maruti Swift VXI,Maruti,Swift,2018,Petrol,Manual,62300,2nd Owner,498000,Silver,Pune,2026-09-30,Clean,Local Garage + ASC Mixed,No,60%,Good,"Bluetooth Audio, Power Windows, ABS, Dual Airbags","Popular city car with low maintenance and smooth clutch.",https://images.example.com/cars/swift-front.jpg,https://images.example.com/cars/swift-dashboard.jpg,https://images.example.com/cars/swift-side.jpg
Honda City VX,Honda,City,2017,Petrol,Automatic,71200,1st Owner,799000,Grey,Bengaluru,2026-12-31,Clean,Authorized Service Center,No,65%,Replaced 2024,"Sunroof, Cruise Control, Rear AC Vent, Push Start","Executive sedan with premium comfort and complete service records.",https://images.example.com/cars/city-front.jpg,https://images.example.com/cars/city-cabin.jpg,https://images.example.com/cars/city-rear.jpg
Toyota Innova Crysta GX,Toyota,Innova Crysta,2019,Diesel,Manual,93400,1st Owner,1495000,Black,Delhi,2026-11-30,Clean,Authorized Service Center,No,55%,Good,"Captain Seats, Rear Camera, Climate Control, ABS","Family MPV in strong mechanical condition, highway driven.",https://images.example.com/cars/innova-front.jpg,https://images.example.com/cars/innova-interior.jpg,https://images.example.com/cars/innova-side.jpg
Mahindra Thar LX,Mahindra,Thar,2021,Diesel,Automatic,27800,1st Owner,1580000,Red,Jaipur,2027-06-30,Clean,Authorized Service Center,No,80%,Excellent,"4x4, Touchscreen, Hard Top, Hill Hold","Adventure-ready SUV with very low running and showroom condition.",https://images.example.com/cars/thar-front.jpg,https://images.example.com/cars/thar-cabin.jpg,https://images.example.com/cars/thar-rear.jpg
Kia Seltos HTK+,Kia,Seltos,2020,Petrol,Manual,40200,1st Owner,1175000,Blue,Hyderabad,2027-01-31,Clean,Authorized Service Center,No,75%,Excellent,"Android Auto, Apple CarPlay, Rear Camera, Auto AC","Feature-rich compact SUV with full documentation and neat interior.",https://images.example.com/cars/seltos-front.jpg,https://images.example.com/cars/seltos-dashboard.jpg,https://images.example.com/cars/seltos-rear.jpg
Renault Kwid RXT,Renault,Kwid,2019,Petrol,Manual,55600,2nd Owner,348000,Red,Chennai,2026-08-31,Clean,Local Garage,No,50%,Good,"Touchscreen, Reverse Sensors, Power Steering","Budget-friendly hatchback, ideal for first-time buyers.",https://images.example.com/cars/kwid-front.jpg,https://images.example.com/cars/kwid-cabin.jpg,https://images.example.com/cars/kwid-side.jpg
Volkswagen Polo Highline,Volkswagen,Polo,2018,Petrol,Manual,68900,2nd Owner,565000,White,Ahmedabad,2026-10-31,Clean,Authorized Service Center,Minor Rear Bumper Repair,60%,Good,"ABS, Rear Wiper, Alloy Wheels, Auto Climate","Solid build quality and stable highway performance.",https://images.example.com/cars/polo-front.jpg,https://images.example.com/cars/polo-interior.jpg,https://images.example.com/cars/polo-rear.jpg
Tata Nexon XM,Tata,Nexon,2021,Diesel,Manual,35800,1st Owner,1025000,Orange,Surat,2027-04-30,Clean,Authorized Service Center,No,78%,Excellent,"Rear Camera, ESP, Hill Assist, Touchscreen","Safe and practical SUV with strong fuel efficiency.",https://images.example.com/cars/nexon-front.jpg,https://images.example.com/cars/nexon-cabin.jpg,https://images.example.com/cars/nexon-side.jpg
Skoda Rapid Ambition,Skoda,Rapid,2017,Diesel,Manual,81200,2nd Owner,612000,Brown,Kolkata,2026-07-31,Clean,Mixed Service History,No,58%,Replaced 2025,"Rear AC, ABS, Parking Sensors, Infotainment","Comfortable sedan with punchy diesel performance.",https://images.example.com/cars/rapid-front.jpg,https://images.example.com/cars/rapid-dashboard.jpg,https://images.example.com/cars/rapid-rear.jpg
